Major,Study Hours,Attendance,Assignment Score,Final Grade
Math,10,High,85,88
Literature,8,Medium,70,75
Science,12,High,90,92
Math,6,Low,60,65
Literature,9,Medium,78,80
Science,15,High,95,94
Math,7,Medium,75,78
Literature,5,Low,55,60
Science,11,High,88,90
Math,8,Medium,80,82
Literature,12,Medium,55,60
Science,7,Low,85,85
Math,13,Medium,50,60
Math,11,High,75,75
Science,6,Low,65,65
Science,14,Medium,95,95
Science,12,Medium,75,75
Science,10,Medium,70,70
Literature,10,Medium,65,65
Science,8,Low,95,95
Literature,15,High,55,60
Literature,6,High,85,85
Science,6,High,90,90
Literature,10,Low,80,80
Literature,11,Low,65,65
Literature,7,High,95,95
Literature,9,Medium,50,60
Math,11,High,80,80
Science,6,High,60,60
Science,8,Low,60,60
